PartijID,Datum,SeizoenID,SpelerID,TegenstanderID,AantalCaramboles,TeHalenGemiddelde,Caramboles,Beurten,HoogsteSet,Gemiddelde,PlusMin
257,"01/21/06 00:00:00",1,21,18,35,1.4,12,21,4,0.5714286,-0.82857138
258,"01/21/06 00:00:00",1,18,21,19,0.75999999,19,21,7,0.90476191,0.14476192
259,"01/26/06 00:00:00",1,18,14,19,0.75999999,16,24,5,0.66666669,-0.093333304
260,"01/26/06 00:00:00",1,14,18,19,0.75999999,19,24,3,0.79166669,0.031666696
261,"01/26/06 00:00:00",1,19,26,54,2.1600001,54,20,8,2.7,0.53999996
262,"01/26/06 00:00:00",1,26,19,147,5.8800001,117,20,26,5.8499999,-0.03000021
263,"01/26/06 00:00:00",1,23,6,42,1.6799999,33,22,6,1.5,-0.17999995
264,"01/26/06 00:00:00",1,6,23,26,1.04,26,22,4,1.1818181,0.14181817
265,"01/26/06 00:00:00",1,21,4,35,1.4,33,17,7,1.9411764,0.54117644
266,"01/26/06 00:00:00",1,4,21,33,1.3200001,33,17,9,1.9411764,0.62117636
267,"01/26/06 00:00:00",1,8,3,30,1.2,26,24,4,1.0833334,-0.11666667
268,"01/26/06 00:00:00",1,3,8,54,2.1600001,54,24,8,2.25,0.089999914
269,"01/26/06 00:00:00",1,6,14,26,1.04,26,18,5,1.4444444,0.40444446
270,"01/26/06 00:00:00",1,14,6,19,0.75999999,19,18,3,1.0555556,0.29555559
271,"01/26/06 00:00:00",1,19,21,54,2.1600001,38,22,7,1.7272727,-0.43272734
272,"01/26/06 00:00:00",1,21,19,35,1.4,35,22,6,1.5909091,0.19090915
273,"01/26/06 00:00:00",1,3,23,54,2.1600001,42,25,16,1.6799999,-0.48000014
274,"01/26/06 00:00:00",1,23,3,42,1.6799999,35,25,13,1.4,-0.27999997
275,"01/26/06 00:00:00",1,6,11,26,1.04,19,24,4,0.79166669,-0.24833328
276,"01/26/06 00:00:00",1,11,6,34,1.36,34,24,6,1.4166666,0.056666613
277,"01/26/06 00:00:00",1,6,5,26,1.04,26,20,5,1.3,0.25999999
278,"01/26/06 00:00:00",1,5,6,14,0.56,11,20,2,0.55000001,-0.0099999905
279,"02/05/06 00:00:00",2,3,14,54,2.1600001,54,24,10,2.25,0.089999914
280,"02/05/06 00:00:00",2,14,3,22,0.88,17,24,4,0.70833331,-0.17166668
281,"02/05/06 00:00:00",2,17,26,52,2.0799999,52,17,9,3.0588236,0.97882366
282,"02/05/06 00:00:00",2,26,17,147,5.8800001,94,17,30,5.5294118,-0.35058832
283,"02/05/06 00:00:00",2,23,21,42,1.6799999,34,25,4,1.36,-0.31999993
284,"02/05/06 00:00:00",2,21,23,36,1.4400001,22,25,5,0.88,-0.56000006
285,"02/05/06 00:00:00",2,3,19,54,2.1600001,46,25,9,1.84,-0.32000005
286,"02/05/06 00:00:00",2,19,3,54,2.1600001,46,25,11,1.84,-0.32000005
287,"02/05/06 00:00:00",2,23,17,42,1.6799999,42,23,6,1.826087,0.14608705
288,"02/05/06 00:00:00",2,17,23,52,2.0799999,47,23,11,2.0434783,-0.036521673
289,"02/05/06 00:00:00",2,11,14,34,1.36,31,25,5,1.24,-0.12
290,"02/05/06 00:00:00",2,14,11,22,0.88,19,25,4,0.75999999,-0.12
291,"02/05/06 00:00:00",2,19,21,54,2.1600001,50,19,7,2.6315789,0.47157884
292,"02/05/06 00:00:00",2,21,19,36,1.4400001,36,19,6,1.8947369,0.45473683
293,"02/09/06 00:00:00",2,3,19,54,2.1600001,54,22,10,2.4545455,0.29454541
294,"02/09/06 00:00:00",2,19,3,54,2.1600001,47,22,8,2.1363637,-0.023636341
295,"02/09/06 00:00:00",2,23,10,42,1.6799999,42,23,12,1.826087,0.14608705
296,"02/09/06 00:00:00",2,10,23,34,1.36,33,23,5,1.4347826,0.07478261
297,"02/09/06 00:00:00",2,19,21,54,2.1600001,39,19,11,2.0526316,-0.10736847
298,"02/09/06 00:00:00",2,21,19,36,1.4400001,36,19,6,1.8947369,0.45473683
299,"02/09/06 00:00:00",2,23,21,42,1.6799999,34,25,10,1.36,-0.31999993
300,"02/09/06 00:00:00",2,21,23,36,1.4400001,34,25,7,1.36,-0.080000043
301,"02/09/06 00:00:00",2,6,3,33,1.3200001,18,25,4,0.72000003,-0.60000002
302,"02/09/06 00:00:00",2,3,6,54,2.1600001,40,25,9,1.6,-0.56000006
303,"02/17/06 00:00:00",2,21,11,36,1.4400001,36,18,8,2,0.55999994
304,"02/17/06 00:00:00",2,11,21,34,1.36,16,18,4,0.8888889,-0.47111112
305,"02/17/06 00:00:00",2,25,14,41,1.64,34,25,5,1.36,-0.27999997
306,"02/17/06 00:00:00",2,14,25,22,0.88,12,25,2,0.47999999,-0.40000001
307,"02/17/06 00:00:00",2,3,8,54,2.1600001,34,18,8,1.8888888,-0.27111125
308,"02/17/06 00:00:00",2,8,3,30,1.2,30,18,5,1.6666666,0.46666658
309,"02/17/06 00:00:00",2,6,26,33,1.3200001,26,20,9,1.3,-0.0200001
310,"02/17/06 00:00:00",2,26,6,147,5.8800001,147,20,37,7.3499999,1.4699998
311,"02/17/06 00:00:00",2,11,25,34,1.36,22,25,7,0.88,-0.48000002
312,"02/17/06 00:00:00",2,25,11,41,1.64,27,25,5,1.08,-0.55999994
313,"02/17/06 00:00:00",2,21,14,36,1.4400001,29,25,4,1.16,-0.28000009
314,"02/17/06 00:00:00",2,14,21,22,0.88,16,25,3,0.63999999,-0.24000001
315,"02/17/06 00:00:00",2,25,26,41,1.64,41,20,6,2.05,0.40999997
316,"02/17/06 00:00:00",2,26,25,147,5.8800001,117,20,28,5.8499999,-0.03000021
317,"02/17/06 00:00:00",2,6,8,33,1.3200001,33,23,5,1.4347826,0.11478257
318,"02/17/06 00:00:00",2,8,6,30,1.2,21,23,4,0.9130435,-0.28695655
319,"02/24/06 00:00:00",2,6,3,33,1.3200001,33,23,9,1.4347826,0.11478257
320,"02/24/06 00:00:00",2,3,6,54,2.1600001,34,23,6,1.4782609,-0.68173921
321,"02/24/06 00:00:00",2,6,21,33,1.3200001,33,25,5,1.3200001,0
